,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position
Female,Hyomin,Park Sunyoung,1989-05-30,T-ara,South Korea,,Busan,,,
Female,Hyori,Inn Hyori,2000-06-02,mimiirose,South Korea,,,,,
Female,Hyorin,Kim Hyojung,1990-12-11,SISTAR,South Korea,,,SISTAR19,,
Female,Hyosun,Lim Hyosun,1998-07-10,H.U.B,South Korea,,,,Kiwi Band,
Female,Hyosung,Jun Hyoseong,1989-10-13,SECRET,South Korea,,Cheongju,,,
Female,Hyoyeon,Kim Hyoyeon,1989-09-22,SNSD,South Korea,,Incheon,,,
Female,HyunA,Kim Hyuna,1992-06-06,4minute,South Korea,,Jeolla,,Wonder Girls,
Female,Hyuna,Moon Hyuna,1987-01-19,,South Korea,,Yeosu,,9Muses,
Female,Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,South Korea,,,,,
Female,Hyungseo,Myeong Hyeongseo,2001-06-25,CLASS:y,South Korea,,,,Busters,
Female,Hyunji,Kim Hyunji,1992-06-30,Hashtag,South Korea,,,,,
Female,Hyunjin,Kim Hyunjin,2000-11-15,Loossemble,South Korea,,Jeonju,Loona 1/3,LOONA,
Female,Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,South Korea,,Seoul,,APRIL,
Female,Hyunseo,Go Hyunseo,1999-06-17,,South Korea,,,,G-reyish,
Female,Hyunyoung,Cho Hyunyoung,1991-08-11,Rainbow,South Korea,,Seoul,"Rainbow Blaxx, Rainbow Pixie",,
Female,I,Cha Yoonji,1996-12-02,,South Korea,,Busan,,,
Female,I.L,Kim Jiwon,1997-07-01,IRRIS,South Korea,,Daegu,,"Good Day, RedSquare",Vocalist
Female,Iaan,Yoo Dongju,2002-03-22,XUM,South Korea,,,,NeonPunch,
Female,Ida,Ko Chaeyoung,2000-05-19,MAJORS,South Korea,,,,,
Female,Ina,Jeong Yina,2004-06-08,BADVILLAIN,South Korea,Australia,Sydney,,,
Female,Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,South Korea,,,,,
Female,Irene,Bae Juhyun,1991-03-29,Red Velvet,South Korea,,Daegu,Red Velvet - IRENE SEULGI,,
Female,Iroha,Hokazuno Iroha,2008-02-04,ILLIT,Japan,,Tokyo,,,
Female,Isa,Lee Chaeyoung,2002-01-23,STAYC,South Korea,,Busan,,,
Female,Isol,,1997-05-01,Lusty,South Korea,,Seoul,,,Main Vocal
Female,IU,Lee Jieun,1993-05-16,,South Korea,,Seoul,,,
Female,J,Lee Yeji,1998-02-12,ANS,South Korea,,,,,
Female,J,Jang Yeeun,2004-12-09,STAYC,South Korea,,Daejeon,,,
Female,J.Min,Shin Minjung,1994-11-20,Tiny-G,South Korea,,,,,
Female,Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',USA,South Korea,Los Angeles,,,
Female,Jaehee,Lee Jaehee,2004-03-18,Weeekly,South Korea,,,,,"Rapper, Sub Vocal"
Female,Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,South Korea,,Seoul,Rainbow Blaxx,,
Female,Jamie,Park Jimin,1997-07-05,15&,South Korea,,Junggu,,,
Female,Jane,Sung Jiyeon,1997-12-20,MOMOLAND,South Korea,,Changwon,,,
Female,Jea,Kim Hyojin,1981-09-18,Brown Eyed Girls,South Korea,,,,,
Female,Jeewon,Kim Jiwon,1999-04-01,Cignature,South Korea,,Busan,,Good Day,
Female,Jei,Kim Jinhee,1989-09-05,Fiestar,South Korea,,Bucheon,,,
Female,Jenna,Kim Minji,2006-10-06,,South Korea,,Changwon,,Queenz Eye,
Female,Jennie,Kim Jennie,1996-01-16,BLACKPINK,South Korea,,Anyang,,,
Female,Jenny,Lee Soyul,1996-09-04,,South Korea,,Seoul,,DIA,
Female,Jeonghee,Go Jeonghee,2000-03-11,Favorite,South Korea,,Incheon,,,
Female,Jeongyeon,Yoo Jeongyeon,1996-11-01,Twice,South Korea,,Suwon,,,
Female,Jeonyul,Jeon Yuri,1994-03-20,Stellar,South Korea,,Seoul,,,
Female,Jerrry,Ahn Sohyun,1992-08-27,Tahiti,South Korea,,Seoul,,,
Female,Jessica,Jessica Jung,1989-04-18,,South Korea,,,,SNSD,
Female,Jia,Meng Jia,1989-02-03,miss A,China,,Changja,,,
Female,Jia,Guo Jiajia,2005-07-30,TRI.BE,China,,,,,
Female,Jia,Yoon Jia,2004-01-16,mimiirose,South Korea,,Incheon,,,
Female,Jiae,Yoo Jiae,1993-05-21,Lovelyz,South Korea,,Seoul,,,
Female,Jiae,Kim Jiae,1995-10-31,Wassup,South Korea,,,,,
Female,Jian,Kwon Jieun,2001-03-14,LUNARSOLAR,South Korea,,,,S.E.T,
Female,Jian,Kim Jian,2006-11-04,,South Korea,,,,LIGHTSUM,
Female,Jiana,Noh Jihyeon,2006-02-02,YOUNG POSSE,South Korea,,Busan,,,
Female,Jieun,Song Jieun,1990-05-05,SECRET,South Korea,,Seoul,,,
Female,Jieun,Park Jieun,1997-09-04,,South Korea,,,,Purple Kiss,
Female,Jieun,Choi Jieun,2001-03-03,Bling Bling,South Korea,,,,,
Female,Jieun,Han Jieun,2009-11-05,YOUNG POSSE,South Korea,,,,,
Female,Jihan,Han Jihyo,2004-07-12,Weeekly,South Korea,,,,,Lead Vocal
Female,Jiheon,Baek Jiheon,2003-04-17,fromis_9,South Korea,,Jeolla,,,
Female,Jiho,Kim Jiho,1997-04-04,,South Korea,,Okcheon,,Oh My Girl,
Female,Jihyo,Park Jisoo,1997-02-01,Twice,South Korea,,Guri,,,"Leader, Main Vocal"
Female,Jihyo,Lee Jihyo,2001-04-22,PRECIOUS,South Korea,,Gyeonggi,,,
Female,Jihyun,Nam Jihyun,1990-01-09,4minute,South Korea,,Seoul,,,
Female,Jimin,Shin Jimin,1991-01-08,,South Korea,,Seoul,AOA BLACK,AoA,
Female,Jimin,Won Jimin,2007-11-25,CLASS:y,South Korea,,,,,
Female,JIN,Park Myungeun,1996-06-12,Lovelyz,South Korea,,Busan,,,
Female,JinE,Shin Hyejin,1995-01-22,,South Korea,,Pohang,,Oh My Girl,
Female,Jinha,Kim Jinha,2003-11-21,TRI.BE,South Korea,,,,,
Female,Jinhui,,1996-11-21,Lusty,South Korea,,Seongnam,,,Main Vocal
Female,Jinju,Park Jinju,1990-04-28,,South Korea,,,,Wassup,
Female,Jinni,Choi Yujin,2004-04-16,,South Korea,,,,NMIXX,
Female,Jinny,Park Jinhee,1998-01-19,SECRET NUMBER,South Korea,USA,California,,,
Female,Jinsol,Lee Jinsol,2001-12-04,APRIL,South Korea,,Andong,,,
Female,JinSoul,Jung Jinsol,1997-06-13,ARTMS,South Korea,,,"Loona Odd Eye Circle, ARTMS",LOONA,
Female,Jisoo,Seo Jisoo,1994-02-11,Lovelyz,South Korea,,Incheon,,,
Female,Jisoo,Kim Jisoo,1995-01-03,BLACKPINK,South Korea,,Seoul,,,
Female,Jisoo,Shin Jisoo,1994-02-28,Tahiti,South Korea,,Chuncheon,,,
Female,Jisoo,Jung Jisoo,2003-11-22,Busters,South Korea,,,,,
Female,Jisook,Kim Jisook,1990-07-18,Rainbow,South Korea,,Suwon,Rainbow Pixie,,
Female,Jisun,Roh Jisun,1998-11-23,fromis_9,South Korea,,Seoul,,,
Female,Jisun,Hwang Jisun,1989-10-17,S#aFLA,South Korea,,,,"Girl's Day, New F.O",
Female,Jiu,Kim Minji,1994-05-17,Dreamcatcher,South Korea,,Daejeon,,Minx,Leader
Female,Jiwon,Yang Jiwon,1988-04-05,UNI.T,South Korea,,Seoul,SPICA-S,SPICA,
Female,Jiwon,Park Jiwon,1998-03-20,fromis_9,South Korea,,Busan,,,
Female,Jiwon,Heo Jiwon,2000-09-04,Cherry Bullet,South Korea,,,,,
Female,Jiwon,Park Jiwon,1997-03-17,BOTOPASS,South Korea,,,,ILUV,
Female,Jiwoo,Jeon Jiwoo,1996-10-04,KARD,South Korea,,,,,
Female,Jiwoo,Kim Jiwoo,2005-04-13,NMIXX,South Korea,,,,,
Female,Jiwoo,Lee Jiwoo,2005-10-24,tripleS,South Korea,,,,,
Female,Jiyeon,Park Jiyeon,1993-06-07,T-ara,South Korea,,Seoul,,,
Female,Jiyoon,Jeon Jiyoon,1990-10-15,4minute,South Korea,,Seoul,2YOON,,
Female,Jiyoon,Woo Jiyoon,1996-01-06,Bolbbalgan4,South Korea,,Yeongju,,,
Female,Jiyoon,Shin Jiyoon,2002-03-02,,South Korea,,,,Weeekly,"Lead Vocal, Lead Dancer"
Female,Jiyoon,Jeong Jiyoon,2000-09-15,ICHILLIN',South Korea,,,,,
Female,Jiyou,Im Changsook,1989-06-15,Two X,South Korea,,,,,
Female,Jiyoung,Kang Jiyoung,1994-01-18,KARA,South Korea,,Paju,,,
Female,Jiyoung,Ahn Jiyoung,1995-09-14,Bolbbalgan4,South Korea,,Yeongju,,,
Female,Jiyul,Yang Jungyoon,1991-07-30,,South Korea,,Seoul,,Dal Shabet,
Female,JK,Kim Jikang,1998-03-17,Girlkind,South Korea,,,,,
Female,Johyun,Shin Jiwon,1996-04-14,Berry Good,South Korea,,,,,
Female,JOO,Jung Minjoo,1990-10-11,,South Korea,,Seoul,,,
Female,Joo E,Lee Joowon,1999-08-18,MOMOLAND,South Korea,,Bucheon,,,
Female,JooA,Lee Juhyun,2002-03-04,Hi-L,South Korea,,,,,
Female,Joobin,Joo Bin,2009-01-16,tripleS,South Korea,,,,,
Female,Joonie,Park Junhee,2002-05-24,ICHILLIN',USA,South Korea,,,,
Female,Jooyeon,Lee Jooyeon,1987-03-19,,South Korea,,Seoul,,After School,
Female,Joy,Park Sooyoung,1996-09-03,Red Velvet,South Korea,,Jeju,,,
Female,Judy,Kim Dahye,1995-05-16,,South Korea,,,,Blackswan,
Female,Jueun,Lee Jooeun,1995-07-07,DIA,South Korea,,Suwon,BinChaenHyunSeuS,,
Female,Jueun,Jo Jueun,2001-01-27,ARIAZ,South Korea,,,,,
Female,Juhyeon,Lee Juhyeon,2004-04-08,LIGHTSUM,South Korea,,,,,
Female,Juhyun,Cha Juhyun,2000-04-01,Bling Bling,South Korea,,,,,
Female,Juju,Park Juyoung,1996-01-03,Gate9,South Korea,,Changwon,,,
Female,Julie,Julie Han,2000-03-29,KISS OF LIFE,South Korea,USA,Hawaii,,,
Female,Jungah,Kim Jungah,1983-08-02,,South Korea,,Incheon,,After School,
Female,Junghwa,Park Junghwa,1995-05-08,EXID,South Korea,,Anyang,,EXID,
Female,Jungwoo,Uhm Jungwoo,1999-04-02,BVNDIT,South Korea,,,,,
Female,Juri,Takahashi Juri,1997-10-03,Rocket Punch,Japan,,,,,
Female,Juyeon,Lee Juyeon,2001-11-06,Saturday,South Korea,,,,,
Female,K.Me,Na Miri,1992-04-10,BADKIZ,South Korea,,Yeosu,,,
Female,Kady,Gu Dokyoung,1995-04-07,Gate9,South Korea,,Busan,,,
Female,Kaede,Yamada Kaede,2005-12-20,tripleS,Japan,,Toyama,,,
Female,Kaeun,Lee Kaeun,1994-08-20,After School,South Korea,,Seoul,,,
Female,Kahi,Park Jiyoung,1980-12-25,,South Korea,,Daegu,,After School,
Female,Karin,Min Karin,2002-01-05,ALICE,South Korea,,,,,
Female,Karin,Baek Yerin,2000-04-23,CRAXY,South Korea,,,,,
Female,Karina,Yoo Jimin,2000-04-11,aespa,South Korea,,Gyeonggi,,,
Female,Kazuha,Nakamura Kazuha,2003-08-09,LE SSERAFIM,Japan,,Osaka,,,
Female,Keena,Song Jakyung,2002-07-09,FIFTY FIFTY,South Korea,,,,,
Female,Kei,Kim Jiyeon,1995-03-20,Lovelyz,South Korea,,Incheon,,,
Female,Keina,Lee Yoona,1999-02-12,H.U.B,South Korea,,,,,
Female,Kelly,Lin Kelly,2002-01-16,TRI.BE,Taiwan,,Kaohsiung,,,
Female,Kelly,Ha Seoyeon,2006-06-16,BADVILLAIN,South Korea,,,,,
Female,Keumjo,Lee Keumjo,1992-12-17,9Muses,South Korea,,Daegu,9MUSES A,,
Female,Kiara,Baek Jinjoo,1998-08-20,,South Korea,,,,,
Female,Kim Lip,Kim Jungeun,1999-02-10,ARTMS,South Korea,,,"Loona Odd Eye Circle, ARTMS",LOONA,
Female,Kokoro,Kato Kokoro,2000-11-01,,Japan,,,,Cherry Bullet,
Female,Kongyoo,Kong Yoojin,2001-05-11,Bonus Baby,South Korea,,,,,
Female,Kotoko,Fujiyosi Kotoko,2007-10-28,UNIS,Japan,,,,,
Female,Kotone,Kamimoto Kotone,2004-03-10,tripleS,Japan,,Tokyo,,,
Female,Kriesha Chu,Kriesha Ziskind Teo Tiu,1998-12-20,,Philippines,,Cebu,,,
Female,Krystal,Krystal Jung,1994-10-24,f(x),South Korea,,San Francisco,,,
Female,Kyla,Kyla Massie,2001-12-26,Pristin,USA,South Korea,California,,,
Female,Kyrin,Park Geumju,2000-02-23,Girls' World,South Korea,,Daejeon,,,
Female,Kyujin,Jang Kyujin,2006-05-26,NMIXX,South Korea,,,,,
Female,Kyulkyung,Zhou Jieqiong,1998-12-16,Pristin,China,,Taizhou,"I.O.I, Pristin V",,
Female,Kyungri,Park Kyungri,1990-07-05,9Muses,South Korea,,Busan,9MUSES A,,
Female,Lara,Moon Shinae,2000-08-09,Dreamnote,South Korea,,,,,
Female,Layeon,Lee Jimin,1998-08-13,Purplebeck,South Korea,,,,,
Female,LE,Ahn Hyejin,1991-12-10,EXID,South Korea,,Cheonan,,,
Female,Lea,Ogawa Mizuki,1995-08-12,SECRET NUMBER,Japan,,Tokyo,,Skarf,
Female,Lee Haein,Lee Haein,1992-07-04,I.B.I,South Korea,,Changwon,,,
Female,Lee Jin,Shim Yerin,2001-03-12,Hi-L,South Korea,,,,,
Female,Lee Soo,Jin Isoo,2001-06-27,PRECIOUS,South Korea,,Incheon,,,
Female,Lee Suhyun,Lee Suhyun,1996-11-05,I.B.I,South Korea,,Ansan,,,
Female,Leeseo,Lee Hyunseo,2007-02-21,IVE,South Korea,,,,,
Female,Leia,Larissa Kartes,2001-05-14,Blackswan,Brazil,Japan,Curitiba,,,
Female,Lena,Kang Rena,2002-04-17,GWSN,South Korea,,,,,
Female,Lia,Choi Jisu,2000-07-21,ITZY,South Korea,,Incheon,,,
Female,Lily,Lily Jin Morrow,2002-10-17,NMIXX,Australia,South Korea,Marysville,,,
Female,Lime,Kim Hyerim,1993-01-19,Hello Venus,South Korea,,,,,
Female,Lin Lin,Huang Ziting,2003-07-05,,Taiwan,,,,Cherry Bullet,
Female,Lina,Oh Sejin,1997-07-27,ANS,South Korea,,,,,
Female,Lina,Oh Hyesoo,1997-05-23,RedSquare,South Korea,,,,,
Female,Linzy,Im Minji,1989-10-22,Fiestar,South Korea,,Incheon,,,
Female,Lisa,Pranpriya Manoban,1997-03-27,BLACKPINK,Thailand,,Bangkok,,,
Female,Liv,Kim Chaeyoung,1997-07-05,IRRIS,South Korea,,Gunsan,,"Good Day, RedSquare","Vocalist, Main Dancer"
Female,Liv,Jin Kyungeun,2006-10-11,RESCENE,South Korea,,Suwon,,,
Female,Liyah,Moon Liya,2000-05-11,MIXX,South Korea,,,,,
Female,Liz,Kim Jiwon,2004-11-21,IVE,South Korea,,,,,
Female,Lizzy,Park Sooyoung,1992-07-31,After School,South Korea,,Busan,Orange Caramel,,
Female,Loha,Kang Yejin,2001-12-27,Nature,South Korea,,,,,
Female,Lola,Choi Yoojung,2001-02-22,Pixy,South Korea,,,,,
Female,Lu,Im Hayoung,1997-12-03,NATURE,South Korea,,,,,
Female,LuA,Jo Hankyeung,1991-09-14,BADKIZ,South Korea,,Busan,,,
Female,Lua,Kim Sookyung,2000-10-06,Weki Meki,South Korea,,,,,
Female,Lua,,2002-01-30,KELT9b,South Korea,,,,,
Female,Lucy,Noh Hyojung,2002-08-31,Weki Meki,South Korea,,Goyang,,,
Female,Lucy,Kim Daeun,2004-04-09,woo!ah!,South Korea,,,,,"Rapper, Vocalist"
Female,Luda,Lee Luda,1997-03-06,WJSN,South Korea,,Seoul,"WJSN Chocome, WJMK",,
Female,Luna,Park Sunyoung,1993-08-12,f(x),South Korea,,Seoul,,,
Female,Lynn,Kawakami Rin,2006-04-12,tripleS,Japan,,,,,
Female,Marin,Yasufuku Marin,2001-03-17,Bling Bling,Japan,,Osaka,,,
Female,Mashiro,Sakamoto Mashiro,1999-12-16,Madein,Japan,,,Kep1er,,
Female,May,Jeong Chaeyoung,2001-07-27,,South Korea,,,,NeonPunch,
Female,May,Hirokawa Mao,2004-11-16,Cherry Bullet,Japan,,,,,
Female,May,Lee Yebin,2008-08-19,RESCENE,South Korea,,Goyang,,,
Female,Mayna,Simone Shaoxi Mengna,2000-05-12,HOT ISSUE,China,Romania,,,,
Female,Mayu,Kouma Mayu,2001-05-12,tripleS,Japan,,Tomioka,,,
Female,Medic Jin,Bae Yujin,1996-08-25,Girlkind,South Korea,,,,,
Female,Meiqi,Meng Meiqi,1998-10-15,,China,,Luoyang,,WJSN,
Female,Mia,Son Hyunmi,1997-12-31,MIXX,South Korea,,,,,
Female,Mia,Han Eunji,2000-01-13,Everglow,South Korea,,,,,
Female,Mihee,Lee Mihee,2000-08-24,BOTOPASS,South Korea,,,,,
Female,Mijoo,Lee Mijoo,1994-09-23,Lovelyz,South Korea,,Okcheon,,,
Female,Mika,Yu Dahyun,2002-01-08,Geenius,South Korea,,,,,
Female,Miko,Matsuda Miko,1995-10-28,Honey Popcorn,Japan,,,,,
Female,Miku,Katae Miku,2002-10-09,Pink Fantasy,Japan,,,,,
Female,Mimi,Jung Mimi,1993-01-01,Gugudan,South Korea,,,,,
Female,Mimi,Kim Mihyun,1995-05-01,Oh My Girl,South Korea,,Jeju,,,
Female,Min,Lee Minyoung,1991-06-21,miss A,South Korea,,Seoul,,,
Female,Mina,Kwon Mina,1993-09-21,,South Korea,,Busan,,"AOA, AOA BLACK",
Female,Mina,Myoui Mina,1997-03-24,Twice,Japan,,San Antonio,MISAMO,,
Female,Mina,Kang Mina,1999-12-04,Gugudan,South Korea,,Icheon,Gugudan Oguogu,I.O.I,
Female,Minah,Bang Minah,1993-05-13,Girl's Day,South Korea,,Incheon,,,
Female,Minami,Ito Minami,2006-11-29,RESCENE,Japan,,Chiba,,,
Female,Minha,Park Minha,1991-06-27,,South Korea,,Seoul,,9Muses,
Female,Minhee,Joo Minhee,1993-01-03,Stellar,South Korea,,Seoul,,,
Female,Mini,,2000-06-12,Purplebeck,South Korea,,,,,
Female,Minjae,Seong Minjae,1994-12-18,Sonamoo,South Korea,,Busan,,,Lead Vocalist
Female,Minjae,Shin Minjae,1991-08-13,Tahiti,South Korea,,Busan,,,
Female,Minji,Kim Minji,2001-01-16,Busters,South Korea,,,,,
Female,Minji,Kim Minji,2004-05-07,NewJeans,South Korea,,Yeongwol,,,
Female,Minji,Park Minji,1999-03-31,SECRET NUMBER,South Korea,,Yongin,,,
Female,Minjoo,Kim Minjoo,2001-02-05,IZ*ONE,South Korea,,Seoul,,,
Female,Minju,Kang Minjoo,2001-03-11,GWSN,South Korea,,,,,
Female,Minju,Seo Minju,2003-09-29,KELT9b,South Korea,,,,,
Female,Minju,Park Minju,2004-05-11,ILLIT,South Korea,,,,,
Female,Minjung,Cha Minjung,2004-07-15,,South Korea,,,,Busters,
Female,Minkyung,Kang Minkyung,1990-08-03,Davichi,South Korea,,Goyang,,,
Female,Minnie,Nicha Yontararak,1997-10-23,(G)I-DLE,Thailand,,,,,
Female,Minseo,Kim Minseo,2004-08-12,woo!ah!,South Korea,,,,,"Vocalist, Dancer"
Female,Minseo,Park Minseo,2003-03-21,Saturday,South Korea,,,,,
Female,Mint,Kunpat Phonpawiworakun,1994-06-23,Tiny-G,Thailand,,,,,
Female,Minyoung,Kim Minyeong,1990-09-12,Brave Girls,South Korea,,Seongnam,,,
Female,Minzy,Kong Minji,1994-01-18,2NE1,South Korea,,,,,
Female,Mire,Su Mire,2006-03-26,TRI.BE,Japan,,,,,
Female,Miryo,Jo Mihye,1981-11-02,Brown Eyed Girls,South Korea,,,,,
Female,Miso,Park Miso,1991-04-04,Tahiti,South Korea,,Gwangju,,,
Female,Miso,Park Jihyun,1996-09-16,P.O.P,South Korea,,Busan,,,
Female,Miso,Jeon Jimin,2000-10-25,Dreamnote,South Korea,,,,,
Female,MiU,Ito Miyu,2003-01-09,Madein,Japan,,Tokyo,LIMELIGHT,,
Female,Miya,Miyauchi Haruka,1993-05-26,GWSN,Japan,,,,,
Female,Miyeon,Jo Miyeon,1997-01-31,(G)I-DLE,South Korea,,,,,
Female,Moka,Sakai Moka,2004-10-08,ILLIT,Japan,,Fukuoka,,,
Female,Moko,Sakura Moko,1991-03-19,Honey Popcorn,Japan,,,,,
Female,Momo,Hirai Momo,1996-11-09,Twice,Japan,,Kyoto,MISAMO,,
Female,Momoka,Matsuda Momoka,2000-12-26,Pink Fantasy,Japan,,,,,
Female,Monday,Kim Jimin,2002-05-10,Weeekly,South Korea,,,,,"Main Vocal, Main Dancer"
Female,Monika,Kang Yeh,1991-05-21,BADKIZ,South Korea,,Seoul,,,
Female,Moon Sua,Moon Sua,1999-09-09,Billlie,South Korea,,Cheongju,,,
Female,Moonbyul,Moon Byulyi,1992-12-22,Mamamoo,South Korea,,Bucheon,,,Main Rapper
Female,Moonhee,Choi Moonhee,1997-04-15,Bonus Baby,South Korea,,,,MyB,
Female,Myungji,Kim Myungji,1997-10-09,Tiny-G,South Korea,,,,,
Female,Nada,Yoon Yejin,1991-05-24,,South Korea,,,,Wassup,
Female,Naeun,Son Naeun,1994-02-10,,South Korea,,Seoul,,Apink,
Female,Naeun,Lee Naeun,1999-05-05,APRIL,South Korea,,Daejeon,,,
Female,Nagomi,Abe Nagomi,2007-07-02,Madein,Japan,,London,,,
Female,Nahyun,Kim Nahyun,1995-12-09,Sonamoo,South Korea,,Seoul,,,
Female,Nahyun,Kang Nahyun,2002-01-25,PRIMROSE,South Korea,,,,HOT ISSUE,
Female,Nako,Yabuki Nako,2001-06-18,IZ*ONE,Japan,,Tokyo,,,
Female,Nakyung,Lee Nakyung,2000-06-01,fromis_9,South Korea,,Mungyeong,,,"Lead Vocalist, Rapper, Visual"
Female,Nakyung,Kim Nakyung,2002-10-13,tripleS,South Korea,,Ulsan,,,
Female,Namjoo,Kim Namjoo,1995-04-15,Apink,South Korea,,Seoul,,,
Female,Nana,Im Jinah,1991-09-14,After School,South Korea,,Cheongju,Orange Caramel,,
Female,Nana,Kwon Nayeon,2001-03-09,woo!ah!,South Korea,,,,,"Leader, Main Dancer"
Female,Nana,Ezumi Nana,2007-06-06,UNIS,Japan,,Tokyo,,,
Female,Nancy,Nancy Mcdonie,2000-04-13,MOMOLAND,South Korea,USA,Daegu,,,
Female,Nara,Kwon Nara,1991-03-13,Hello Venus,South Korea,,Seongnam,,,
Female,Narae,Park Narae,1988-02-23,SPICA,South Korea,,Incheon,SPICA-S,SPICA,
Female,Nari,Kim Nari,1992-10-05,Wassup,South Korea,,,,,
Female,Narin,Lee Narin,2001-10-29,Bling Bling,South Korea,,,,,
Female,Narin,Lee Eunseo,2000-06-06,Queenz Eye,South Korea,,,,,
Female,Narsha,Park Hyojin,1981-12-28,Brown Eyed Girls,South Korea,,,,,
Female,Natty,Ahnatchaya Suputhipong,2002-05-30,KISS OF LIFE,Thailand,,Bangkok,,,
Female,Nayeon,Im Nayeon,1995-09-22,Twice,South Korea,,Seoul,,,
Female,Nayoung,Kim Nayoung,1995-11-23,Gugudan,South Korea,,,,,
Female,Nayoung,Im Nayoung,1995-12-18,Pristin,South Korea,,Chungcheongham,"I.O.I, Pristin V",,
Female,Nayoung,Kim Nayoung,2002-11-30,LIGHTSUM,South Korea,,Chuncheon,,,
Female,Nayu,Kim Yewon,2002-07-23,ILY:1,South Korea,,,,,
Female,Nayun,Kim Nayun,1998-07-31,MOMOLAND,South Korea,,Seoul,,,
Female,NC.A,Im Soeun,1996-10-07,UNI.T,South Korea,,Osan,,,
Female,New Sun,Choi Yoonsun,1997-06-19,Sonamoo,South Korea,,,,,Rapper
Female,Nicole,Nicole Jung,1991-10-07,KARA,South Korea,USA,Los Angeles,,,
Female,Nien,Hsu Nien Tsu,2003-06-02,tripleS,Taiwan,Vietnam,Taipei,,,
Female,Nina,Nina Nadia Mateer,2003-03-15,IRRIS,Australia,South Korea,Brisbane,,,
Female,Ningning,Ning Yizhuo,2002-10-23,aespa,China,,Harbin,,,
Female,Nizz,Hwang Sujeong,2001-07-07,X:IN,South Korea,,,,,
Female,Noeul,No Eul,1989-05-10,Rainbow,South Korea,,Jeonju,,,
Female,Nova,Maria Pavlovna Emelyanova,2002-10-10,X:IN,Russia,,Moscow,,,
Female,Nvee,Florence Alena Smith,1999-01-10,Blackswan,USA,,,,,
Female,Onda,Jo Selim,2000-05-18,Everglow,South Korea,,,,,
Female,Pharita,Pharita Chaikong,2005-08-26,BABYMONSTER,Thailand,,Bangkok,,,
Female,Qri,Lee Jihyun,1986-12-12,T-ara,South Korea,,Goyang,,,
Female,Rachel,Sung Nayeon,2000-08-28,APRIL,South Korea,USA,,,,
Female,Raina,Oh Hyerin,1989-05-07,After School,South Korea,,Ulsan,Orange Caramel,,
Female,Rainie,Chu Chingyu,2000-11-16,PRIMROSE,Taiwan,,,,bugAboo,
Female,Raon,Lee Seoyoung,2000-01-21,ANS,South Korea,,,,,
Female,Rayeon,Lee Rayeon,2001-11-24,FANATICS,South Korea,,Gwangju,,,
Female,Red,Lee Heejin,1991-07-10,Pungdeng-E,South Korea,,Daegu,,,
Female,Rei,Naoi Rei,2004-02-03,IVE,Japan,,,,,
Female,Remi,Katsuno Rise,2001-04-26,Cherry Bullet,Japan,,,,,
Female,Rena,Kang Yebin,1998-10-19,Hinapia,South Korea,,,Pristin V,Pristin,
Female,Ria,Kuwayama Ria,1998-02-03,BOTOPASS,Japan,,,,,
Female,Riina,Lee Seunghyeon,2001-02-21,H1-KEY,South Korea,,,,,
Female,Rina,Kang Soeun,2001-09-27,Weki Meki,South Korea,,,,,
Female,Rinji,Hwang Rinji,2006-05-05,Pixy,South Korea,,,,,
Female,Ririka,Kishida Ririka,2002-07-02,ILY:1,Japan,,,,,
Female,Riwon,Kim Riwon,2007-01-11,CLASS:y,South Korea,,,,,
Female,Roa,Kim Minkyung,1997-07-29,Hinapia,South Korea,,,Pristin V,Pristin,
Female,Roa,Kwak Jieun,1994-10-06,,South Korea,,,,X:IN,
Female,Rona,Chang Ching,2002-06-05,ILY:1,Taiwan,,Taipei,,,
Female,Rora,Lee Dain,2008-08-05,BABYMONSTER,South Korea,,,,,
Female,Ros�,Roseanne Park,1997-02-11,BLACKPINK,South Korea,,Auckland,,,
Female,Royeon,Jeon Hyunjoo,1998-02-20,ANS,South Korea,,,,,
Female,Ruby,Heo Jiwon,2002-08-21,PRIMROSE,South Korea,,,,,
Female,Rui,Watanabe Rui,1994-10-08,H.U.B,Japan,,,,N-Bulance,
Female,Ruka,Kawai Ruka,2002-03-20,BABYMONSTER,Japan,,,,,
Female,Ryujin,Shin Ryujin,2001-04-17,ITZY,South Korea,,Seoul,,,
Female,Saebom,Kim Saerok,1997-01-30,NATURE,South Korea,,,,,
Female,Saebom,Kim Seyoung,1995-01-13,Favorite,South Korea,,Gwacheon,,,
Female,Saebyeok,Shim Jaeyoung,1996-11-09,Ho1iday,South Korea,,,,,
Female,Saebyeol,Han Saebyeol,1996-05-23,Matilda,South Korea,,,,,
Female,Saena,Jung Sehyun,2004-03-12,FIFTY FIFTY,South Korea,,Busan,,,
Female,Saerom,Lee Saerom,1997-01-07,fromis_9,South Korea,,Gangwon,,,
Female,Sakura,Miyawaki Sakura,1998-03-19,LE SSERAFIM,Japan,,Kagoshima,,IZ*ONE,
Female,Sally,Liu Xiening,1996-10-23,Gugudan,China,,Guangdong,,,
